schema,hardware,codec,operation,resolution,width,height,sequence,source_kind,qp,gop_size,source_timestamp,source_json,mode,frame_num,i_frame_num,p_frame_num,total_bytes,bitrate_kbps,elapsed_time_s,total_encoding_time_s,encoding_fps,decoding_fps,avg_frame_encoding_time_s,p95_frame_encoding_time_s,peak_memory_mb,peak_gpu_memory_mb,reset_interval,timing_frame_count,timing_total_s,timing_avg_s,timing_p50_s,timing_p95_s,timing_min_s,timing_max_s
nvcr.python-dcvc-rt.gop.v1,jetson-orin,DCVC-RT,encode,1280x720,1280,720,FourPeople_1280x720_60.yuv,summary,32,1,1786209045,"1280x720/FourPeople_1280x720_60.yuv/FourPeople_1280x720_60.yuv,q=32,gop=1,time=1786209045_encode.json",encode_only,96,96,0,1083655,2709,101.361657,16.816006,5.708846678575162,0.0,0.195535,0.216881,1518.417969,238.165527,64,86,16.816006,0.195535,0.192022,0.216881,0.190026,0.225289
nvcr.python-dcvc-rt.gop.v1,jetson-orin,DCVC-RT,encode,1280x720,1280,720,FourPeople_1280x720_60.yuv,summary,32,1,1786209568,"1280x720/FourPeople_1280x720_60.yuv/FourPeople_1280x720_60.yuv,q=32,gop=1,time=1786209568_encode.json",encode_only,100,100,0,1129187,2710,105.325544,18.904631,5.289709172318677,0.0,0.210051,0.227415,1506.269531,238.165527,64,90,18.904631,0.210051,0.200805,0.227415,0.190565,0.232316
nvcr.python-dcvc-rt.gop.v1,jetson-orin,DCVC-RT,encode,1280x720,1280,720,FourPeople_1280x720_60.yuv,summary,32,30,1786209166,"1280x720/FourPeople_1280x720_60.yuv/FourPeople_1280x720_60.yuv,q=32,gop=30,time=1786209166_encode.json",encode_only,96,4,92,131027,327,46.888917,6.134441,15.649347674873718,0.0,0.071331,0.07634,1588.457031,282.241699,64,86,6.134441,0.071331,0.065123,0.07634,0.063607,0.197243
nvcr.python-dcvc-rt.gop.v1,jetson-orin,DCVC-RT,encode,1280x720,1280,720,FourPeople_1280x720_60.yuv,summary,32,30,1786209693,"1280x720/FourPeople_1280x720_60.yuv/FourPeople_1280x720_60.yuv,q=32,gop=30,time=1786209693_encode.json",encode_only,100,4,96,132837,318,49.225665,6.492394,15.402638841696914,0.0,0.072138,0.074872,1587.351562,282.241699,64,90,6.492394,0.072138,0.066204,0.074872,0.064115,0.200189
nvcr.python-dcvc-rt.gop.v1,jetson-orin,DCVC-RT,encode,1280x720,1280,720,FourPeople_1280x720_60.yuv,summary,32,96,1786209232,"1280x720/FourPeople_1280x720_60.yuv/FourPeople_1280x720_60.yuv,q=32,gop=96,time=1786209232_encode.json",encode_only,96,1,95,68323,170,44.964633,5.635936,17.03355041647031,0.0,0.065534,0.069953,1582.074219,282.241699,64,86,5.635936,0.065534,0.063701,0.069953,0.063004,0.115753
nvcr.python-dcvc-rt.gop.v1,jetson-orin,DCVC-RT,encode,1280x720,1280,720,FourPeople_1280x720_60.yuv,summary,32,100,1786209761,"1280x720/FourPeople_1280x720_60.yuv/FourPeople_1280x720_60.yuv,q=32,gop=100,time=1786209761_encode.json",encode_only,100,1,99,70465,169,45.510772,5.862478,17.057633307962945,0.0,0.065139,0.069518,1582.253906,282.241699,64,90,5.862478,0.065139,0.064162,0.069518,0.063107,0.114324
nvcr.python-dcvc-rt.gop.v1,jetson-orin,DCVC-RT,encode,176x144,176,144,akiyo_qcif.yuv,summary,32,1,1786208515,"176x144/akiyo_qcif.yuv/akiyo_qcif.yuv,q=32,gop=1,time=1786208515_encode.json",encode_only,96,96,0,57479,143,13.688179,2.28536,42.00651100920643,0.0,0.026574,0.028922,1505.925781,138.309082,64,86,2.28536,0.026574,0.026071,0.028922,0.025566,0.032006
nvcr.python-dcvc-rt.gop.v1,jetson-orin,DCVC-RT,encode,176x144,176,144,akiyo_qcif.yuv,summary,32,1,1786208969,"176x144/akiyo_qcif.yuv/akiyo_qcif.yuv,q=32,gop=1,time=1786208969_encode.json",encode_only,96,96,0,57479,143,13.311178,2.376163,40.40126876817794,0.0,0.02763,0.028378,1498.339844,138.309082,64,86,2.376163,0.02763,0.027242,0.028378,0.026446,0.043079
nvcr.python-dcvc-rt.gop.v1,jetson-orin,DCVC-RT,encode,176x144,176,144,akiyo_qcif.yuv,summary,32,30,1786208548,"176x144/akiyo_qcif.yuv/akiyo_qcif.yuv,q=32,gop=30,time=1786208548_encode.json",encode_only,96,4,92,7671,19,9.762354,1.48099,64.82150453412919,0.0,0.017221,0.018869,1571.425781,175.342285,64,86,1.48099,0.017221,0.016126,0.018869,0.015275,0.049172
nvcr.python-dcvc-rt.gop.v1,jetson-orin,DCVC-RT,encode,176x144,176,144,akiyo_qcif.yuv,summary,32,30,1786209002,"176x144/akiyo_qcif.yuv/akiyo_qcif.yuv,q=32,gop=30,time=1786209002_encode.json",encode_only,96,4,92,7671,19,9.408059,1.427324,67.25873032331832,0.0,0.016597,0.016436,1579.539062,175.342285,64,86,1.427324,0.016597,0.015521,0.016436,0.015123,0.048609
