sequence,width,height,qp,gop,nvcr_psnr_yuv_db,python_psnr_yuv_db,psnr_delta_python_minus_nvcr_db,nvcr_entropy_bpp,python_entropy_bpp,entropy_bpp_delta_percent,nvcr_file_bpp,python_file_bpp,file_bpp_delta_percent
akiyo-qcif,176,144,0,1,28.616518120,28.629733728,0.013215608,0.048841540404,0.048522727273,-0.652749952,0.077907196970,0.049804292929,-36.072282322
akiyo-qcif,176,144,0,30,30.687071960,30.560041835,-0.127030126,0.005931186869,0.005928030303,-0.053219798,0.034996843434,0.006925505051,-80.211057996
akiyo-qcif,176,144,0,100,30.455463221,30.420001063,-0.035462159,0.003055555556,0.003080808081,0.826446281,0.032121212121,0.004068813131,-87.332940252
akiyo-qcif,176,144,21,1,33.398774875,33.378548408,-0.020226467,0.122313762626,0.121745580808,-0.464528117,0.151379419192,0.123027146465,-18.729278312
akiyo-qcif,176,144,21,30,35.668231502,35.732910095,0.064678593,0.015069444444,0.015047348485,-0.146627566,0.044135101010,0.016066919192,-63.596052067
akiyo-qcif,176,144,21,100,35.419731995,35.535606133,0.115874138,0.008121843434,0.008011363636,-1.360279829,0.037187500000,0.009008838384,-75.774552245
akiyo-qcif,176,144,42,1,38.137608256,38.165376374,0.027768118,0.269040404040,0.268955176768,-0.031678243,0.298106060606,0.270236742424,-9.348792884
akiyo-qcif,176,144,42,30,39.901575012,39.952190602,0.050615590,0.033762626263,0.033380681818,-1.131264024,0.062828282828,0.034428661616,-45.201969453
akiyo-qcif,176,144,42,100,39.776610306,39.861057812,0.084447507,0.020726010101,0.020306186869,-2.025586354,0.049791666667,0.021335227273,-57.151007988
akiyo-qcif,176,144,63,1,42.429786929,42.478748512,0.048961583,0.566808712121,0.566871843434,0.011138028,0.595874368687,0.568153409091,-4.652148347
akiyo-qcif,176,144,63,30,42.918828585,42.987727270,0.068898684,0.073835227273,0.073462752525,-0.504467530,0.102900883838,0.074592803030,-27.510046320
akiyo-qcif,176,144,63,100,42.778400810,42.879198607,0.100797797,0.050795454545,0.050041035354,-1.485210042,0.079861111111,0.051133207071,-35.972332016
basketball-1080p,1920,1080,0,1,32.880649420,32.890540934,0.009891514,0.018713233025,0.018705131173,-0.043294773,0.019068479938,0.018720794753,-1.823350295
basketball-1080p,1920,1080,0,30,31.103471249,31.104275345,0.000804096,0.002697492284,0.002687152778,-0.383300676,0.003052739198,0.002703047840,-11.455002717
basketball-1080p,1920,1080,0,100,30.654955901,30.638417694,-0.016538206,0.002011805556,0.002007600309,-0.209028497,0.002367052469,0.002023495370,-14.514131108
basketball-1080p,1920,1080,21,1,36.258394519,36.264653965,0.006259445,0.042237615741,0.042098881173,-0.328462120,0.042592862654,0.042114544753,-1.123000126
basketball-1080p,1920,1080,21,30,34.876969945,34.885414884,0.008444939,0.008475655864,0.008456674383,-0.223952952,0.008830902778,0.008472569444,-4.057720285
basketball-1080p,1920,1080,21,100,34.543886404,34.548304449,0.004418045,0.006825231481,0.006813927469,-0.165620937,0.007180478395,0.006829822531,-4.883461030
basketball-1080p,1920,1080,42,1,38.834853261,38.851895383,0.017042122,0.098206828704,0.097978202160,-0.232801065,0.098562075617,0.098001581790,-0.568670884
basketball-1080p,1920,1080,42,30,37.823746527,37.835072171,0.011325644,0.026560146605,0.026513348765,-0.176195712,0.026915393519,0.026529629630,-1.433246327
