schema,hardware,execution_mode,container_image,container_digest,operation,resolution,input,size,fps,frames,warmup_frames,run_index,runs_planned,qp,gop_size,engine_profile,payload_bytes,payload_bpp,codec_time_seconds,throughput_fps,psnr_yuv,peak_memory_mb,peak_gpu_memory_mb,peak_system_memory_mb,min_largest_free_block_mb,memory_sampler,memory_sample_ms
"resolution-matrix.v1","jetson-orin","native","","","encode","qcif","/home/oelghati/nvcr/../datasets/qcif/akiyo_qcif.yuv","176x144","30","100","10","1","2","32","1","qcif","65180","0.205744949","0.896","111.611","null","1071.0","null","2324.0","4.0","procfs+nvidia-smi+tegrastats","100"
"resolution-matrix.v1","jetson-orin","native","","","decode","qcif","/home/oelghati/nvcr/../datasets/qcif/akiyo_qcif.yuv","176x144","30","100","10","1","2","32","1","qcif","65180","0.205744949","1.204","83.084","35.786048","1065.140625","null","2318.0","4.0","procfs+nvidia-smi+tegrastats","100"
"resolution-matrix.v1","jetson-orin","native","","","encode","qcif","/home/oelghati/nvcr/../datasets/qcif/akiyo_qcif.yuv","176x144","30","100","10","2","2","32","1","qcif","65180","0.205744949","0.899","111.203","null","1071.046875","null","2328.0","4.0","procfs+nvidia-smi+tegrastats","100"
"resolution-matrix.v1","jetson-orin","native","","","decode","qcif","/home/oelghati/nvcr/../datasets/qcif/akiyo_qcif.yuv","176x144","30","100","10","2","2","32","1","qcif","65180","0.205744949","1.387","72.115","35.786048","1065.078125","null","2318.0","4.0","procfs+nvidia-smi+tegrastats","100"
"resolution-matrix.v1","jetson-orin","native","","","encode","qcif","/home/oelghati/nvcr/../datasets/qcif/akiyo_qcif.yuv","176x144","30","100","10","average","2","32","1","qcif","65180","0.205744949","0.897500","111.407000","null","1071.046875","null","2328.000000","4.000000","procfs+nvidia-smi+tegrastats","100"
"resolution-matrix.v1","jetson-orin","native","","","decode","qcif","/home/oelghati/nvcr/../datasets/qcif/akiyo_qcif.yuv","176x144","30","100","10","average","2","32","1","qcif","65180","0.205744949","1.295500","77.599500","35.786048","1065.140625","null","2318.000000","4.000000","procfs+nvidia-smi+tegrastats","100"
"resolution-matrix.v1","jetson-orin","native","","","encode","cif","/home/oelghati/nvcr/../datasets/cif/waterfall_cif.yuv","352x288","30","100","10","1","2","32","1","cif","368287","0.290630524","2.289","43.693","null","1072.636719","null","2329.0","4.0","procfs+nvidia-smi+tegrastats","100"
"resolution-matrix.v1","jetson-orin","native","","","decode","cif","/home/oelghati/nvcr/../datasets/cif/waterfall_cif.yuv","352x288","30","100","10","1","2","32","1","cif","368287","0.290630524","2.911","34.351","31.960549","1067.796875","null","2327.0","4.0","procfs+nvidia-smi+tegrastats","100"
"resolution-matrix.v1","jetson-orin","native","","","encode","cif","/home/oelghati/nvcr/../datasets/cif/waterfall_cif.yuv","352x288","30","100","10","2","2","32","1","cif","368287","0.290630524","2.288","43.704","null","1072.78125","null","2324.0","4.0","procfs+nvidia-smi+tegrastats","100"
"resolution-matrix.v1","jetson-orin","native","","","decode","cif","/home/oelghati/nvcr/../datasets/cif/waterfall_cif.yuv","352x288","30","100","10","2","2","32","1","cif","368287","0.290630524","2.680","37.313","31.960549","1069.71875","null","2325.0","4.0","procfs+nvidia-smi+tegrastats","100"
"resolution-matrix.v1","jetson-orin","native","","","encode","cif","/home/oelghati/nvcr/../datasets/cif/waterfall_cif.yuv","352x288","30","100","10","average","2","32","1","cif","368287","0.290630524","2.288500","43.698500","null","1072.781250","null","2329.000000","4.000000","procfs+nvidia-smi+tegrastats","100"
"resolution-matrix.v1","jetson-orin","native","","","decode","cif","/home/oelghati/nvcr/../datasets/cif/waterfall_cif.yuv","352x288","30","100","10","average","2","32","1","cif","368287","0.290630524","2.795500","35.832000","31.960549","1069.718750","null","2327.000000","4.000000","procfs+nvidia-smi+tegrastats","100"
"resolution-matrix.v1","jetson-orin","native","","","encode","360p","/home/oelghati/nvcr/../datasets/360p/BasketballDrive_640x360_50.yuv","640x360","50","100","10","1","2","32","1","360p","409827","0.142301042","4.907","20.378","null","1111.90625","null","2381.0","2.0","procfs+nvidia-smi+tegrastats","100"
"resolution-matrix.v1","jetson-orin","native","","","decode","360p","/home/oelghati/nvcr/../datasets/360p/BasketballDrive_640x360_50.yuv","640x360","50","100","10","1","2","32","1","360p","409827","0.142301042","4.428","22.582","36.194348","1106.34375","null","2373.0","4.0","procfs+nvidia-smi+tegrastats","100"
"resolution-matrix.v1","jetson-orin","native","","","encode","360p","/home/oelghati/nvcr/../datasets/360p/BasketballDrive_640x360_50.yuv","640x360","50","100","10","2","2","32","1","360p","409827","0.142301042","4.932","20.275","null","1111.8125","null","2376.0","4.0","procfs+nvidia-smi+tegrastats","100"
"resolution-matrix.v1","jetson-orin","native","","","decode","360p","/home/oelghati/nvcr/../datasets/360p/BasketballDrive_640x360_50.yuv","640x360","50","100","10","2","2","32","1","360p","409827","0.142301042","4.305","23.229","36.194348","1106.253906","null","2379.0","4.0","procfs+nvidia-smi+tegrastats","100"
"resolution-matrix.v1","jetson-orin","native","","","encode","360p","/home/oelghati/nvcr/../datasets/360p/BasketballDrive_640x360_50.yuv","640x360","50","100","10","average","2","32","1","360p","409827","0.142301042","4.919500","20.326500","null","1111.906250","null","2381.000000","2.000000","procfs+nvidia-smi+tegrastats","100"
"resolution-matrix.v1","jetson-orin","native","","","decode","360p","/home/oelghati/nvcr/../datasets/360p/BasketballDrive_640x360_50.yuv","640x360","50","100","10","average","2","32","1","360p","409827","0.142301042","4.366500","22.905500","36.194348","1106.343750","null","2379.000000","4.000000","procfs+nvidia-smi+tegrastats","100"
"resolution-matrix.v1","jetson-orin","native","","","encode","540p","/home/oelghati/nvcr/../datasets/540p/BasketballDrive_960x540_50.yuv","960x540","50","100","10","1","2","32","1","540p","699698","0.107978086","10.479","9.543","null","1096.558594","null","2376.0","4.0","procfs+nvidia-smi+tegrastats","100"
"resolution-matrix.v1","jetson-orin","native","","","decode","540p","/home/oelghati/nvcr/../datasets/540p/BasketballDrive_960x540_50.yuv","960x540","50","100","10","1","2","32","1","540p","699698","0.107978086","8.765","11.409","37.310212","1101.160156","null","2380.0","4.0","procfs+nvidia-smi+tegrastats","100"
