schema,hardware,codec,operation,resolution,width,height,sequence,source_kind,qp,gop_size,source_timestamp,source_json,mode,frame_num,i_frame_num,p_frame_num,total_bytes,bitrate_kbps,model_initialization_time_s,peak_memory_mb,peak_gpu_memory_mb,reset_interval,throughput_fps,ave_i_frame_bpp,ave_i_frame_psnr,ave_i_frame_msssim,ave_i_frame_psnr_y,ave_i_frame_psnr_u,ave_i_frame_psnr_v,ave_i_frame_msssim_y,ave_i_frame_msssim_u,ave_i_frame_msssim_v,ave_p_frame_bpp,ave_p_frame_psnr,ave_p_frame_msssim,ave_p_frame_psnr_y,ave_p_frame_psnr_u,ave_p_frame_psnr_v,ave_p_frame_msssim_y,ave_p_frame_msssim_u,ave_p_frame_msssim_v,ave_all_frame_bpp,ave_all_frame_psnr,ave_all_frame_msssim,ave_all_frame_psnr_y,ave_all_frame_psnr_u,ave_all_frame_psnr_v,ave_all_frame_msssim_y,ave_all_frame_msssim_u,ave_all_frame_msssim_v
nvcr.python-dcvc-rt.gop.v1,jetson-orin,DCVC-RT,encode,1280x720,1280,720,FourPeople_1280x720_60.yuv,summary,32,1,1786271879,"1280x720/FourPeople_1280x720_60.yuv/FourPeople_1280x720_60.yuv,q=32,gop=1,time=1786271879_encode.json",encode_only,100,100,0,1129187,2710,5.931791,1508.265625,238.165527,64,2.965165,,,,,,,,,,,,,,,,,,,,,,,,,,,
nvcr.python-dcvc-rt.gop.v1,jetson-orin,DCVC-RT,decode,1280x720,1280,720,FourPeople_1280x720_60.yuv,summary,32,1,1786274863,"1280x720/FourPeople_1280x720_60.yuv/FourPeople_1280x720_60.yuv,q=32,gop=1,time=1786274863_decode.json",decode_only,100,100,0,,,5.885983,1450.363281,227.712402,64,1.915257,0.097984,38.851177,0.0,36.751338,44.415325,45.886063,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.097984,38.851177,0.0,36.751338,44.415325,45.886063,0.0,0.0,0.0
nvcr.python-dcvc-rt.gop.v1,jetson-orin,DCVC-RT,encode,1280x720,1280,720,FourPeople_1280x720_60.yuv,summary,32,30,1786271997,"1280x720/FourPeople_1280x720_60.yuv/FourPeople_1280x720_60.yuv,q=32,gop=30,time=1786271997_encode.json",encode_only,100,4,96,132837,318,6.128035,1582.664062,282.241699,64,4.410634,,,,,,,,,,,,,,,,,,,,,,,,,,,
nvcr.python-dcvc-rt.gop.v1,jetson-orin,DCVC-RT,decode,1280x720,1280,720,FourPeople_1280x720_60.yuv,summary,32,30,1786274934,"1280x720/FourPeople_1280x720_60.yuv/FourPeople_1280x720_60.yuv,q=32,gop=30,time=1786274934_decode.json",decode_only,100,4,96,,,5.983511,1584.226562,268.050293,64,2.959131,0.097925,38.865935,0.0,36.762947,44.417296,45.932503,0.0,0.0,0.0,0.007894,40.838781,0.0,38.919223,45.76676,47.428147,0.0,0.0,0.0,0.011496,40.759867,0.0,38.832972,45.712781,47.368321,0.0,0.0,0.0
nvcr.python-dcvc-rt.gop.v1,jetson-orin,DCVC-RT,encode,1280x720,1280,720,FourPeople_1280x720_60.yuv,summary,32,100,1786272070,"1280x720/FourPeople_1280x720_60.yuv/FourPeople_1280x720_60.yuv,q=32,gop=100,time=1786272070_encode.json",encode_only,100,1,99,70465,169,6.171978,1584.78125,282.241699,64,4.456466,,,,,,,,,,,,,,,,,,,,,,,,,,,
nvcr.python-dcvc-rt.gop.v1,jetson-orin,DCVC-RT,decode,1280x720,1280,720,FourPeople_1280x720_60.yuv,summary,32,100,1786274987,"1280x720/FourPeople_1280x720_60.yuv/FourPeople_1280x720_60.yuv,q=32,gop=100,time=1786274987_decode.json",decode_only,100,1,99,,,5.953267,1584.292969,268.050293,64,3.226332,0.099323,38.833945,0.0,36.705225,44.470204,45.97,0.0,0.0,0.0,0.00514,40.720879,0.0,38.766195,45.758585,47.411277,0.0,0.0,0.0,0.006081,40.70201,0.0,38.745586,45.745701,47.396864,0.0,0.0,0.0
nvcr.python-dcvc-rt.gop.v1,jetson-orin,DCVC-RT,encode,176x144,176,144,akiyo_qcif.yuv,summary,32,1,1786275892,"176x144/akiyo_qcif.yuv/akiyo_qcif.yuv,q=32,gop=1,time=1786275892_encode.json",encode_only,100,100,0,59883,143,5.883553,1503.488281,138.309082,64,8.136237,,,,,,,,,,,,,,,,,,,,,,,,,,,
nvcr.python-dcvc-rt.gop.v1,jetson-orin,DCVC-RT,decode,176x144,176,144,akiyo_qcif.yuv,summary,32,1,1786275991,"176x144/akiyo_qcif.yuv/akiyo_qcif.yuv,q=32,gop=1,time=1786275991_decode.json",decode_only,100,100,0,,,5.97436,1480.878906,136.638672,64,14.432493,0.187743,35.919247,0.0,34.532912,36.94995,43.206552,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.187743,35.919247,0.0,34.532912,36.94995,43.206552,0.0,0.0,0.0
nvcr.python-dcvc-rt.gop.v1,jetson-orin,DCVC-RT,encode,176x144,176,144,akiyo_qcif.yuv,summary,32,30,1786275924,"176x144/akiyo_qcif.yuv/akiyo_qcif.yuv,q=32,gop=30,time=1786275924_encode.json",encode_only,100,4,96,7792,18,6.172392,1576.589844,175.342285,64,8.544267,,,,,,,,,,,,,,,,,,,,,,,,,,,
nvcr.python-dcvc-rt.gop.v1,jetson-orin,DCVC-RT,decode,176x144,176,144,akiyo_qcif.yuv,summary,32,30,1786276017,"176x144/akiyo_qcif.yuv/akiyo_qcif.yuv,q=32,gop=30,time=1786276017_decode.json",decode_only,100,4,96,,,5.862359,1510.484375,142.87207,64,19.079968,0.187579,35.89043,0.0,34.49264,36.853454,43.314147,0.0,0.0,0.0,0.016727,38.425476,0.0,37.003713,40.618634,44.762899,0.0,0.0,0.0,0.023561,38.324074,0.0,36.90327,40.468027,44.704949,0.0,0.0,0.0
nvcr.python-dcvc-rt.gop.v1,jetson-orin,DCVC-RT,encode,176x144,176,144,akiyo_qcif.yuv,summary,32,100,1786271410,"176x144/akiyo_qcif.yuv/akiyo_qcif.yuv,q=32,gop=100,time=1786271410_encode.json",encode_only,100,1,99,4602,11,6.589143,1573.9375,175.342285,64,8.106311,,,,,,,,,,,,,,,,,,,,,,,,,,,
nvcr.python-dcvc-rt.gop.v1,jetson-orin,DCVC-RT,decode,176x144,176,144,akiyo_qcif.yuv,summary,32,100,1786274477,"176x144/akiyo_qcif.yuv/akiyo_qcif.yuv,q=32,gop=100,time=1786274477_decode.json",decode_only,100,1,99,,,6.381379,1502.367188,142.87207,64,19.291281,0.188447,35.915473,0.0,34.487525,36.913704,43.484935,0.0,0.0,0.0,0.011749,38.264351,0.0,36.816409,40.617542,44.598813,0.0,0.0,0.0,0.013516,38.240862,0.0,36.79312,40.580504,44.587675,0.0,0.0,0.0
