schema,hardware,operation,resolution,input,size,fps,frames,warmup_frames,run_index,runs_planned,qp,gop_size,engine_profile,payload_bytes,payload_bpp,codec_time_seconds,throughput_fps,psnr_yuv
"resolution-matrix.v1","Orin (nvgpu)","encode","qcif","/home/oelghati/datasets/qcif/akiyo_qcif.yuv","176x144","30","100","10","1","1","32","1","qcif","65180","0.205744949","0.919","108.836","null"
"resolution-matrix.v1","Orin (nvgpu)","decode","qcif","/home/oelghati/datasets/qcif/akiyo_qcif.yuv","176x144","30","100","10","1","1","32","1","qcif","65180","0.205744949","1.567","63.803","35.786048"
"resolution-matrix.v1","Orin (nvgpu)","encode","qcif","/home/oelghati/datasets/qcif/akiyo_qcif.yuv","176x144","30","100","10","average","1","32","1","qcif","65180","0.205744949","0.919000","108.836000","null"
"resolution-matrix.v1","Orin (nvgpu)","decode","qcif","/home/oelghati/datasets/qcif/akiyo_qcif.yuv","176x144","30","100","10","average","1","32","1","qcif","65180","0.205744949","1.567000","63.803000","35.786048"
"resolution-matrix.v1","Orin (nvgpu)","encode","cif","/home/oelghati/datasets/cif/paris_cif.yuv","352x288","30","100","10","1","1","32","1","cif","1351672","1.066660354","2.286","43.750","null"
"resolution-matrix.v1","Orin (nvgpu)","decode","cif","/home/oelghati/datasets/cif/paris_cif.yuv","352x288","30","100","10","1","1","32","1","cif","1351672","1.066660354","3.282","30.471","28.043252"
"resolution-matrix.v1","Orin (nvgpu)","encode","cif","/home/oelghati/datasets/cif/paris_cif.yuv","352x288","30","100","10","average","1","32","1","cif","1351672","1.066660354","2.286000","43.750000","null"
"resolution-matrix.v1","Orin (nvgpu)","decode","cif","/home/oelghati/datasets/cif/paris_cif.yuv","352x288","30","100","10","average","1","32","1","cif","1351672","1.066660354","3.282000","30.471000","28.043252"
"resolution-matrix.v1","Orin (nvgpu)","encode","360p","/home/oelghati/datasets/360p/BasketballDrive_640x360_50.yuv","640x360","50","100","10","1","1","32","1","360p","409916","0.142331944","4.919","20.330","null"
"resolution-matrix.v1","Orin (nvgpu)","decode","360p","/home/oelghati/datasets/360p/BasketballDrive_640x360_50.yuv","640x360","50","100","10","1","1","32","1","360p","409916","0.142331944","4.351","22.984","36.202542"
"resolution-matrix.v1","Orin (nvgpu)","encode","360p","/home/oelghati/datasets/360p/BasketballDrive_640x360_50.yuv","640x360","50","100","10","average","1","32","1","360p","409916","0.142331944","4.919000","20.330000","null"
"resolution-matrix.v1","Orin (nvgpu)","decode","360p","/home/oelghati/datasets/360p/BasketballDrive_640x360_50.yuv","640x360","50","100","10","average","1","32","1","360p","409916","0.142331944","4.351000","22.984000","36.202542"
"resolution-matrix.v1","Orin (nvgpu)","encode","540p","/home/oelghati/datasets/540p/BasketballDrive_960x540_50.yuv","960x540","50","100","10","1","1","32","1","540p","699454","0.107940432","10.004","9.996","null"
"resolution-matrix.v1","Orin (nvgpu)","decode","540p","/home/oelghati/datasets/540p/BasketballDrive_960x540_50.yuv","960x540","50","100","10","1","1","32","1","540p","699454","0.107940432","8.330","12.005","37.311204"
"resolution-matrix.v1","Orin (nvgpu)","encode","540p","/home/oelghati/datasets/540p/BasketballDrive_960x540_50.yuv","960x540","50","100","10","average","1","32","1","540p","699454","0.107940432","10.004000","9.996000","null"
"resolution-matrix.v1","Orin (nvgpu)","decode","540p","/home/oelghati/datasets/540p/BasketballDrive_960x540_50.yuv","960x540","50","100","10","average","1","32","1","540p","699454","0.107940432","8.330000","12.005000","37.311204"
"resolution-matrix.v1","Orin (nvgpu)","encode","720p","/home/oelghati/datasets/720p/FourPeople_1280x720_60.yuv","1280x720","30","100","10","1","1","32","1","720p","1137779","0.098765538","17.400","5.747","null"
"resolution-matrix.v1","Orin (nvgpu)","decode","720p","/home/oelghati/datasets/720p/FourPeople_1280x720_60.yuv","1280x720","30","100","10","1","1","32","1","720p","1137779","0.098765538","14.542","6.877","38.649110"
"resolution-matrix.v1","Orin (nvgpu)","encode","720p","/home/oelghati/datasets/720p/FourPeople_1280x720_60.yuv","1280x720","30","100","10","average","1","32","1","720p","1137779","0.098765538","17.400000","5.747000","null"
"resolution-matrix.v1","Orin (nvgpu)","decode","720p","/home/oelghati/datasets/720p/FourPeople_1280x720_60.yuv","1280x720","30","100","10","average","1","32","1","720p","1137779","0.098765538","14.542000","6.877000","38.649110"
"resolution-matrix.v1","Orin (nvgpu)","encode","1080p","/home/oelghati/datasets/hd/BasketballDrive_1920x1080_50.yuv","1920x1080","60","100","10","1","1","32","1","1080p","1701426","0.065641435","39.130","2.556","null"
"resolution-matrix.v1","Orin (nvgpu)","decode","1080p","/home/oelghati/datasets/hd/BasketballDrive_1920x1080_50.yuv","1920x1080","60","100","10","1","1","32","1","1080p","1701426","0.065641435","31.079","3.218","37.708867"
"resolution-matrix.v1","Orin (nvgpu)","encode","1080p","/home/oelghati/datasets/hd/BasketballDrive_1920x1080_50.yuv","1920x1080","60","100","10","average","1","32","1","1080p","1701426","0.065641435","39.130000","2.556000","null"
"resolution-matrix.v1","Orin (nvgpu)","decode","1080p","/home/oelghati/datasets/hd/BasketballDrive_1920x1080_50.yuv","1920x1080","60","100","10","average","1","32","1","1080p","1701426","0.065641435","31.079000","3.218000","37.708867"
"resolution-matrix.v1","Orin (nvgpu)","encode","qcif","/home/oelghati/datasets/qcif/akiyo_qcif.yuv","176x144","30","100","10","1","1","32","30","qcif","13806","0.043579545","0.501","199.475","null"
"resolution-matrix.v1","Orin (nvgpu)","decode","qcif","/home/oelghati/datasets/qcif/akiyo_qcif.yuv","176x144","30","100","10","1","1","32","30","qcif","13806","0.043579545","1.044","95.752","38.232326"
"resolution-matrix.v1","Orin (nvgpu)","encode","qcif","/home/oelghati/datasets/qcif/akiyo_qcif.yuv","176x144","30","100","10","average","1","32","30","qcif","13806","0.043579545","0.501000","199.475000","null"
"resolution-matrix.v1","Orin (nvgpu)","decode","qcif","/home/oelghati/datasets/qcif/akiyo_qcif.yuv","176x144","30","100","10","average","1","32","30","qcif","13806","0.043579545","1.044000","95.752000","38.232326"
"resolution-matrix.v1","Orin (nvgpu)","encode","cif","/home/oelghati/datasets/cif/paris_cif.yuv","352x288","30","100","10","1","1","32","30","cif","213004","0.168090278","1.131","88.420","null"
"resolution-matrix.v1","Orin (nvgpu)","decode","cif","/home/oelghati/datasets/cif/paris_cif.yuv","352x288","30","100","10","1","1","32","30","cif","213004","0.168090278","2.110","47.401","26.235126"
"resolution-matrix.v1","Orin (nvgpu)","encode","cif","/home/oelghati/datasets/cif/paris_cif.yuv","352x288","30","100","10","average","1","32","30","cif","213004","0.168090278","1.131000","88.420000","null"
"resolution-matrix.v1","Orin (nvgpu)","decode","cif","/home/oelghati/datasets/cif/paris_cif.yuv","352x288","30","100","10","average","1","32","30","cif","213004","0.168090278","2.110000","47.401000","26.235126"
"resolution-matrix.v1","Orin (nvgpu)","encode","360p","/home/oelghati/datasets/360p/BasketballDrive_640x360_50.yuv","640x360","50","100","10","1","1","32","30","360p","96254","0.033421528","2.164","46.215","null"
"resolution-matrix.v1","Orin (nvgpu)","decode","360p","/home/oelghati/datasets/360p/BasketballDrive_640x360_50.yuv","640x360","50","100","10","1","1","32","30","360p","96254","0.033421528","2.784","35.915","34.982209"
"resolution-matrix.v1","Orin (nvgpu)","encode","360p","/home/oelghati/datasets/360p/BasketballDrive_640x360_50.yuv","640x360","50","100","10","average","1","32","30","360p","96254","0.033421528","2.164000","46.215000","null"
"resolution-matrix.v1","Orin (nvgpu)","decode","360p","/home/oelghati/datasets/360p/BasketballDrive_640x360_50.yuv","640x360","50","100","10","average","1","32","30","360p","96254","0.033421528","2.784000","35.915000","34.982209"
"resolution-matrix.v1","Orin (nvgpu)","encode","540p","/home/oelghati/datasets/540p/BasketballDrive_960x540_50.yuv","960x540","50","100","10","1","1","32","30","540p","162979","0.025151080","4.571","21.876","null"
"resolution-matrix.v1","Orin (nvgpu)","decode","540p","/home/oelghati/datasets/540p/BasketballDrive_960x540_50.yuv","960x540","50","100","10","1","1","32","30","540p","162979","0.025151080","4.300","23.256","36.002576"
"resolution-matrix.v1","Orin (nvgpu)","encode","540p","/home/oelghati/datasets/540p/BasketballDrive_960x540_50.yuv","960x540","50","100","10","average","1","32","30","540p","162979","0.025151080","4.571000","21.876000","null"
"resolution-matrix.v1","Orin (nvgpu)","decode","540p","/home/oelghati/datasets/540p/BasketballDrive_960x540_50.yuv","960x540","50","100","10","average","1","32","30","540p","162979","0.025151080","4.300000","23.256000","36.002576"
"resolution-matrix.v1","Orin (nvgpu)","encode","720p","/home/oelghati/datasets/720p/FourPeople_1280x720_60.yuv","1280x720","30","100","10","1","1","32","30","720p","151072","0.013113889","8.090","12.361","null"
"resolution-matrix.v1","Orin (nvgpu)","decode","720p","/home/oelghati/datasets/720p/FourPeople_1280x720_60.yuv","1280x720","30","100","10","1","1","32","30","720p","151072","0.013113889","7.291","13.715","40.575646"
"resolution-matrix.v1","Orin (nvgpu)","encode","720p","/home/oelghati/datasets/720p/FourPeople_1280x720_60.yuv","1280x720","30","100","10","average","1","32","30","720p","151072","0.013113889","8.090000","12.361000","null"
"resolution-matrix.v1","Orin (nvgpu)","decode","720p","/home/oelghati/datasets/720p/FourPeople_1280x720_60.yuv","1280x720","30","100","10","average","1","32","30","720p","151072","0.013113889","7.291000","13.715000","40.575646"
"resolution-matrix.v1","Orin (nvgpu)","encode","1080p","/home/oelghati/datasets/hd/BasketballDrive_1920x1080_50.yuv","1920x1080","60","100","10","1","1","32","30","1080p","414918","0.016007639","17.562","5.694","null"
"resolution-matrix.v1","Orin (nvgpu)","decode","1080p","/home/oelghati/datasets/hd/BasketballDrive_1920x1080_50.yuv","1920x1080","60","100","10","1","1","32","30","1080p","414918","0.016007639","15.728","6.358","36.538386"
"resolution-matrix.v1","Orin (nvgpu)","encode","1080p","/home/oelghati/datasets/hd/BasketballDrive_1920x1080_50.yuv","1920x1080","60","100","10","average","1","32","30","1080p","414918","0.016007639","17.562000","5.694000","null"
"resolution-matrix.v1","Orin (nvgpu)","decode","1080p","/home/oelghati/datasets/hd/BasketballDrive_1920x1080_50.yuv","1920x1080","60","100","10","average","1","32","30","1080p","414918","0.016007639","15.728000","6.358000","36.538386"
"resolution-matrix.v1","Orin (nvgpu)","encode","qcif","/home/oelghati/datasets/qcif/akiyo_qcif.yuv","176x144","30","100","10","1","1","32","100","qcif","10786","0.034046717","0.490","203.933","null"
"resolution-matrix.v1","Orin (nvgpu)","decode","qcif","/home/oelghati/datasets/qcif/akiyo_qcif.yuv","176x144","30","100","10","1","1","32","100","qcif","10786","0.034046717","1.058","94.553","38.339249"
