schema,hardware,execution_mode,container_image,container_digest,operation,resolution,input,size,frames,warmup_frames,run_index,runs_planned,qp,gop_size,engine_profile,payload_bytes,payload_bpp,codec_time_seconds,fps,psnr_yuv,peak_memory_mb,peak_gpu_memory_mb,peak_system_memory_mb,min_largest_free_block_mb,memory_sampler,memory_sample_ms
"resolution-matrix.v1","rtx3050","docker","omarelghati/nvcr:latest-amd64-cuda12.8-trt10.9","omarelghati/nvcr@sha256:40f215cd15d424f2f86971523ffff9c5a321081b9ffe68c898116254dcf971de","encode","qcif","/input/qcif/akiyo_qcif.yuv","176x144","100","10","1","2","32","1","qcif","65261","0.206000631","0.847","117.999","null","null","null","null","null","none","0"
"resolution-matrix.v1","rtx3050","docker","omarelghati/nvcr:latest-amd64-cuda12.8-trt10.9","omarelghati/nvcr@sha256:40f215cd15d424f2f86971523ffff9c5a321081b9ffe68c898116254dcf971de","decode","qcif","/input/qcif/akiyo_qcif.yuv","176x144","100","10","1","2","32","1","qcif","65261","0.206000631","0.639","156.510","35.792242","null","null","null","null","none","0"
"resolution-matrix.v1","rtx3050","docker","omarelghati/nvcr:latest-amd64-cuda12.8-trt10.9","omarelghati/nvcr@sha256:40f215cd15d424f2f86971523ffff9c5a321081b9ffe68c898116254dcf971de","encode","qcif","/input/qcif/akiyo_qcif.yuv","176x144","100","10","2","2","32","1","qcif","65261","0.206000631","0.700","142.884","null","null","null","null","null","none","0"
"resolution-matrix.v1","rtx3050","docker","omarelghati/nvcr:latest-amd64-cuda12.8-trt10.9","omarelghati/nvcr@sha256:40f215cd15d424f2f86971523ffff9c5a321081b9ffe68c898116254dcf971de","decode","qcif","/input/qcif/akiyo_qcif.yuv","176x144","100","10","2","2","32","1","qcif","65261","0.206000631","0.664","150.505","35.792242","null","null","null","null","none","0"
"resolution-matrix.v1","rtx3050","docker","omarelghati/nvcr:latest-amd64-cuda12.8-trt10.9","omarelghati/nvcr@sha256:40f215cd15d424f2f86971523ffff9c5a321081b9ffe68c898116254dcf971de","encode","qcif","/input/qcif/akiyo_qcif.yuv","176x144","100","10","average","2","32","1","qcif","65261","0.206000631","0.773500","130.441500","null","null","null","null","null","none","0"
"resolution-matrix.v1","rtx3050","docker","omarelghati/nvcr:latest-amd64-cuda12.8-trt10.9","omarelghati/nvcr@sha256:40f215cd15d424f2f86971523ffff9c5a321081b9ffe68c898116254dcf971de","decode","qcif","/input/qcif/akiyo_qcif.yuv","176x144","100","10","average","2","32","1","qcif","65261","0.206000631","0.651500","153.507500","35.792242","null","null","null","null","","0"
"resolution-matrix.v1","rtx3050","docker","omarelghati/nvcr:latest-amd64-cuda12.8-trt10.9","omarelghati/nvcr@sha256:40f215cd15d424f2f86971523ffff9c5a321081b9ffe68c898116254dcf971de","encode","cif","/input/cif/waterfall_cif.yuv","352x288","100","10","1","2","32","1","cif","368364","0.290691288","1.548","64.592","null","null","null","null","null","none","0"
"resolution-matrix.v1","rtx3050","docker","omarelghati/nvcr:latest-amd64-cuda12.8-trt10.9","omarelghati/nvcr@sha256:40f215cd15d424f2f86971523ffff9c5a321081b9ffe68c898116254dcf971de","decode","cif","/input/cif/waterfall_cif.yuv","352x288","100","10","1","2","32","1","cif","368364","0.290691288","1.336","74.852","31.960618","null","null","null","null","none","0"
"resolution-matrix.v1","rtx3050","docker","omarelghati/nvcr:latest-amd64-cuda12.8-trt10.9","omarelghati/nvcr@sha256:40f215cd15d424f2f86971523ffff9c5a321081b9ffe68c898116254dcf971de","encode","cif","/input/cif/waterfall_cif.yuv","352x288","100","10","2","2","32","1","cif","368364","0.290691288","1.290","77.546","null","null","null","null","null","none","0"
"resolution-matrix.v1","rtx3050","docker","omarelghati/nvcr:latest-amd64-cuda12.8-trt10.9","omarelghati/nvcr@sha256:40f215cd15d424f2f86971523ffff9c5a321081b9ffe68c898116254dcf971de","decode","cif","/input/cif/waterfall_cif.yuv","352x288","100","10","2","2","32","1","cif","368364","0.290691288","1.121","89.202","31.960618","null","null","null","null","none","0"
"resolution-matrix.v1","rtx3050","docker","omarelghati/nvcr:latest-amd64-cuda12.8-trt10.9","omarelghati/nvcr@sha256:40f215cd15d424f2f86971523ffff9c5a321081b9ffe68c898116254dcf971de","encode","cif","/input/cif/waterfall_cif.yuv","352x288","100","10","average","2","32","1","cif","368364","0.290691288","1.419000","71.069000","null","null","null","null","null","none","0"
"resolution-matrix.v1","rtx3050","docker","omarelghati/nvcr:latest-amd64-cuda12.8-trt10.9","omarelghati/nvcr@sha256:40f215cd15d424f2f86971523ffff9c5a321081b9ffe68c898116254dcf971de","decode","cif","/input/cif/waterfall_cif.yuv","352x288","100","10","average","2","32","1","cif","368364","0.290691288","1.228500","82.027000","31.960618","null","null","null","null","","0"
"resolution-matrix.v1","rtx3050","docker","omarelghati/nvcr:latest-amd64-cuda12.8-trt10.9","omarelghati/nvcr@sha256:40f215cd15d424f2f86971523ffff9c5a321081b9ffe68c898116254dcf971de","encode","360p","/input/360p/BasketballDrive_640x360_50.yuv","640x360","100","10","1","2","32","1","360p","409727","0.142266319","2.432","41.118","null","null","null","null","null","none","0"
"resolution-matrix.v1","rtx3050","docker","omarelghati/nvcr:latest-amd64-cuda12.8-trt10.9","omarelghati/nvcr@sha256:40f215cd15d424f2f86971523ffff9c5a321081b9ffe68c898116254dcf971de","decode","360p","/input/360p/BasketballDrive_640x360_50.yuv","640x360","100","10","1","2","32","1","360p","409727","0.142266319","2.222","44.997","36.177398","null","null","null","null","none","0"
"resolution-matrix.v1","rtx3050","docker","omarelghati/nvcr:latest-amd64-cuda12.8-trt10.9","omarelghati/nvcr@sha256:40f215cd15d424f2f86971523ffff9c5a321081b9ffe68c898116254dcf971de","encode","360p","/input/360p/BasketballDrive_640x360_50.yuv","640x360","100","10","2","2","32","1","360p","409727","0.142266319","2.408","41.533","null","null","null","null","null","none","0"
