campaign,sequence,width,height,qp,gop,implementation,operation,mode,metric,n,mean,median,sample_std,cv_percent,minimum,maximum,ci95_low,ci95_high
full,akiyo-qcif,176,144,0,1,nvcr,decode,memory,process_peak_rss_mib,10,519.737109375,519.748046875,0.13811968256638726,0.02657491260004129,519.39453125,519.9296875,519.6383045062232,519.8359142437769
full,akiyo-qcif,176,144,0,1,nvcr,decode,throughput,codec_seconds,10,0.1673713652,0.16721814899999998,0.00056101653085147,0.3351926598561735,0.166672865,0.168840218,0.1669700381502818,0.16777269224971822
full,akiyo-qcif,176,144,0,1,nvcr,decode,throughput,process_fps,10,79.88142982156462,79.38984992565717,1.1408278416646773,1.4281515043145883,78.11203846671893,81.99417340383185,79.06533074648603,80.69752889664322
full,akiyo-qcif,176,144,0,1,nvcr,decode,throughput,process_seconds,10,1.2520836915998643,1.2596068694992937,0.017762624116038062,1.418645114156999,1.2195988550001857,1.2802123969995591,1.2393770757699814,1.2647903074297473
full,akiyo-qcif,176,144,0,1,nvcr,decode,throughput,throughput_fps,10,597.4797730273817,598.0212467115946,1.9910276969804743,0.33323767378636066,592.2759469547713,599.9776868298268,596.0554776143326,598.9040684404308
full,akiyo-qcif,176,144,0,1,nvcr,encode,memory,process_peak_rss_mib,10,519.3859375,519.43359375,0.13320509783892573,0.025646650827723987,519.109375,519.515625,519.290648313348,519.4812266866519
full,akiyo-qcif,176,144,0,1,nvcr,encode,throughput,codec_seconds,10,0.1914206073,0.190858372,0.0019499103023502328,1.0186522390947577,0.19050737,0.196948272,0.19002572549915595,0.19281548910084403
full,akiyo-qcif,176,144,0,1,nvcr,encode,throughput,process_fps,10,78.56863581830058,79.34432919695342,1.710208691360379,2.1767066126939536,76.21486941997289,80.66017058691882,77.34522622025464,79.79204541634651
full,akiyo-qcif,176,144,0,1,nvcr,encode,throughput,process_seconds,10,1.2733207165000295,1.2603296300003421,0.027985660686428906,2.1978485328781074,1.2397692599997754,1.3120799229998283,1.2533009808593463,1.2933404521407128
full,akiyo-qcif,176,144,0,1,nvcr,encode,throughput,throughput_fps,10,522.4573777408731,523.9487235726276,5.190308670489255,0.9934415498030406,507.7475368760788,524.9140755026957,518.7444545892274,526.1703008925188
full,akiyo-qcif,176,144,0,1,python,decode,memory,process_peak_rss_mib,10,1263.7625,1263.783203125,0.157426129060938,0.012456939421840575,1263.53125,1264.0234375,1263.6498841313933,1263.8751158686068
full,akiyo-qcif,176,144,0,1,python,decode,throughput,codec_seconds,10,0.39407387360170104,0.39417199750118925,0.0020366361371251416,0.5168158240258306,0.3899177210023481,0.397493071003737,0.39261695187602313,0.39553079532737895
full,akiyo-qcif,176,144,0,1,python,decode,throughput,process_fps,10,27.851301758890273,27.870487584088664,0.1023547011773178,0.36750419087555103,27.61424007321568,27.95224112394211,27.778081616542707,27.92452190123784
full,akiyo-qcif,176,144,0,1,python,decode,throughput,process_seconds,10,3.590540277799846,3.588024798499646,0.013252009353069062,0.36908120582870657,3.577530673000183,3.6213200049996885,3.581060361390906,3.600020194208786
full,akiyo-qcif,176,144,0,1,python,decode,throughput,throughput_fps,10,253.7656376608814,253.69638607115854,1.3136501836259384,0.5176627520316321,251.57671238767296,256.4643631557279,252.82590892997172,254.70536639179107
full,akiyo-qcif,176,144,0,1,python,encode,memory,process_peak_rss_mib,10,1287.9265625,1287.859375,0.20507543814377457,0.015922913938951743,1287.59765625,1288.2578125,1287.7798603690753,1288.0732646309248
full,akiyo-qcif,176,144,0,1,python,encode,throughput,codec_seconds,10,0.5147731889039051,0.5141395630071202,0.0031946197891004804,0.6205878351789672,0.508184557000277,0.5194677940071415,0.512487895575765,0.5170584822320452
full,akiyo-qcif,176,144,0,1,python,encode,throughput,process_fps,10,26.747132783895992,26.749993975280976,0.12199391059857424,0.4561008897074185,26.515700283683096,26.89675239599015,26.659863597460777,26.834401970331207
full,akiyo-qcif,176,144,0,1,python,encode,throughput,process_seconds,10,3.7387886646999275,3.7383185989999674,0.01709451989610002,0.4572208121175529,3.7179209789992456,3.771350517999963,3.7265599818376973,3.7510173475621578
full,akiyo-qcif,176,144,0,1,python,encode,throughput,throughput_fps,10,194.26706238037258,194.499772639407,1.2087393484009576,0.6222049860589648,192.5047156987469,196.77890369255257,193.4023823399541,195.13174242079106
full,akiyo-qcif,176,144,0,30,nvcr,decode,memory,process_peak_rss_mib,10,519.4046875,519.400390625,0.1690523429635281,0.03254732716741762,519.05859375,519.65625,519.2837547389876,519.5256202610125
full,akiyo-qcif,176,144,0,30,nvcr,decode,throughput,codec_seconds,10,0.09634309419999999,0.095500487,0.002754927787929915,2.85949689576185,0.095266334,0.104171648,0.09437233758140515,0.09831385081859484
full,akiyo-qcif,176,144,0,30,nvcr,decode,throughput,process_fps,10,86.49041579074657,86.97881488994233,1.5313815046718167,1.770579422784618,84.05975030601297,87.80846681934506,85.39493145567677,87.58590012581637
full,akiyo-qcif,176,144,0,30,nvcr,decode,throughput,process_seconds,10,1.1565272179001682,1.1497968335000337,0.02069443583783183,1.7893600355904618,1.1388423420003164,1.189629990999947,1.1417233103080426,1.1713311254922938
