sequence,width,height,gop,qp,implementation,content_id,input_sha256,frames,entropy_bpp,file_bpp,psnr_yuv_db,quality_contract,fingerprint
akiyo-qcif,176,144,1,0,nvcr,akiyo,c7c95c0e81df52f6819c6bea4da8a91f0b3a39afb1d68f72d7768a47405e3045,100,0.04879419191919192,0.07785984848484849,28.627825997194265,decoded-yuv420p8-pooled-plane-6-1-1-v1,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e
akiyo-qcif,176,144,1,21,nvcr,akiyo,c7c95c0e81df52f6819c6bea4da8a91f0b3a39afb1d68f72d7768a47405e3045,100,0.12227272727272727,0.15133838383838383,33.39585291835823,decoded-yuv420p8-pooled-plane-6-1-1-v1,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e
akiyo-qcif,176,144,1,42,nvcr,akiyo,c7c95c0e81df52f6819c6bea4da8a91f0b3a39afb1d68f72d7768a47405e3045,100,0.26906565656565656,0.29813131313131314,38.141044796890164,decoded-yuv420p8-pooled-plane-6-1-1-v1,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e
akiyo-qcif,176,144,1,63,nvcr,akiyo,c7c95c0e81df52f6819c6bea4da8a91f0b3a39afb1d68f72d7768a47405e3045,100,0.5669949494949494,0.5960606060606061,42.4323340025539,decoded-yuv420p8-pooled-plane-6-1-1-v1,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e
akiyo-qcif,176,144,1,0,python,akiyo,c7c95c0e81df52f6819c6bea4da8a91f0b3a39afb1d68f72d7768a47405e3045,100,0.04851325757575758,0.04979482323232323,28.618143449694777,decoded-yuv420p8-pooled-plane-6-1-1-v1,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e
akiyo-qcif,176,144,1,21,python,akiyo,c7c95c0e81df52f6819c6bea4da8a91f0b3a39afb1d68f72d7768a47405e3045,100,0.12175820707070707,0.12303977272727273,33.390070832935365,decoded-yuv420p8-pooled-plane-6-1-1-v1,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e
akiyo-qcif,176,144,1,42,python,akiyo,c7c95c0e81df52f6819c6bea4da8a91f0b3a39afb1d68f72d7768a47405e3045,100,0.2688920454545455,0.2701736111111111,38.15508143650902,decoded-yuv420p8-pooled-plane-6-1-1-v1,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e
akiyo-qcif,176,144,1,63,python,akiyo,c7c95c0e81df52f6819c6bea4da8a91f0b3a39afb1d68f72d7768a47405e3045,100,0.5668434343434343,0.568125,42.478349621517765,decoded-yuv420p8-pooled-plane-6-1-1-v1,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e
akiyo-qcif,176,144,30,0,nvcr,akiyo,c7c95c0e81df52f6819c6bea4da8a91f0b3a39afb1d68f72d7768a47405e3045,100,0.005934343434343434,0.035,30.623551118671305,decoded-yuv420p8-pooled-plane-6-1-1-v1,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e
akiyo-qcif,176,144,30,21,nvcr,akiyo,c7c95c0e81df52f6819c6bea4da8a91f0b3a39afb1d68f72d7768a47405e3045,100,0.015097853535353535,0.0441635101010101,35.67896889334481,decoded-yuv420p8-pooled-plane-6-1-1-v1,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e
akiyo-qcif,176,144,30,42,nvcr,akiyo,c7c95c0e81df52f6819c6bea4da8a91f0b3a39afb1d68f72d7768a47405e3045,100,0.033592171717171715,0.06265782828282829,39.918809744614784,decoded-yuv420p8-pooled-plane-6-1-1-v1,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e
akiyo-qcif,176,144,30,63,nvcr,akiyo,c7c95c0e81df52f6819c6bea4da8a91f0b3a39afb1d68f72d7768a47405e3045,100,0.07340593434343434,0.10247159090909091,42.912322589673344,decoded-yuv420p8-pooled-plane-6-1-1-v1,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e
akiyo-qcif,176,144,30,0,python,akiyo,c7c95c0e81df52f6819c6bea4da8a91f0b3a39afb1d68f72d7768a47405e3045,100,0.005918560606060606,0.006916035353535354,30.676382995483266,decoded-yuv420p8-pooled-plane-6-1-1-v1,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e
akiyo-qcif,176,144,30,21,python,akiyo,c7c95c0e81df52f6819c6bea4da8a91f0b3a39afb1d68f72d7768a47405e3045,100,0.014880050505050505,0.015902777777777776,35.68172641762044,decoded-yuv420p8-pooled-plane-6-1-1-v1,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e
akiyo-qcif,176,144,30,42,python,akiyo,c7c95c0e81df52f6819c6bea4da8a91f0b3a39afb1d68f72d7768a47405e3045,100,0.033538510101010104,0.03458964646464646,39.94392569249249,decoded-yuv420p8-pooled-plane-6-1-1-v1,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e
akiyo-qcif,176,144,30,63,python,akiyo,c7c95c0e81df52f6819c6bea4da8a91f0b3a39afb1d68f72d7768a47405e3045,100,0.07327020202020203,0.07439709595959595,42.98023381772306,decoded-yuv420p8-pooled-plane-6-1-1-v1,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e
akiyo-qcif,176,144,100,0,nvcr,akiyo,c7c95c0e81df52f6819c6bea4da8a91f0b3a39afb1d68f72d7768a47405e3045,100,0.003115530303030303,0.032181186868686866,30.553849712771324,decoded-yuv420p8-pooled-plane-6-1-1-v1,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e
akiyo-qcif,176,144,100,21,nvcr,akiyo,c7c95c0e81df52f6819c6bea4da8a91f0b3a39afb1d68f72d7768a47405e3045,100,0.00803030303030303,0.0370959595959596,35.579973532094385,decoded-yuv420p8-pooled-plane-6-1-1-v1,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e
akiyo-qcif,176,144,100,42,nvcr,akiyo,c7c95c0e81df52f6819c6bea4da8a91f0b3a39afb1d68f72d7768a47405e3045,100,0.020533459595959595,0.049599116161616164,39.84455447929082,decoded-yuv420p8-pooled-plane-6-1-1-v1,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e
akiyo-qcif,176,144,100,63,nvcr,akiyo,c7c95c0e81df52f6819c6bea4da8a91f0b3a39afb1d68f72d7768a47405e3045,100,0.050381944444444444,0.07944760101010101,42.76560256316949,decoded-yuv420p8-pooled-plane-6-1-1-v1,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e
akiyo-qcif,176,144,100,0,python,akiyo,c7c95c0e81df52f6819c6bea4da8a91f0b3a39afb1d68f72d7768a47405e3045,100,0.0031470959595959595,0.00413510101010101,30.53606418410464,decoded-yuv420p8-pooled-plane-6-1-1-v1,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e
akiyo-qcif,176,144,100,21,python,akiyo,c7c95c0e81df52f6819c6bea4da8a91f0b3a39afb1d68f72d7768a47405e3045,100,0.007913510101010102,0.008910984848484849,35.49555066814615,decoded-yuv420p8-pooled-plane-6-1-1-v1,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e
akiyo-qcif,176,144,100,42,python,akiyo,c7c95c0e81df52f6819c6bea4da8a91f0b3a39afb1d68f72d7768a47405e3045,100,0.020583964646464645,0.02161300505050505,39.85041517939263,decoded-yuv420p8-pooled-plane-6-1-1-v1,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e
akiyo-qcif,176,144,100,63,python,akiyo,c7c95c0e81df52f6819c6bea4da8a91f0b3a39afb1d68f72d7768a47405e3045,100,0.05014835858585859,0.0512405303030303,42.86747874348105,decoded-yuv420p8-pooled-plane-6-1-1-v1,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e
basketball-1080p,1920,1080,1,0,nvcr,basketball-drive,e004197c0a412ad50ba5746c826e7aaa112dfc18a0cdf6953f4fe3cd83445cef,100,0.018713425925925925,0.01906867283950617,32.882858759821985,decoded-yuv420p8-pooled-plane-6-1-1-v1,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e
basketball-1080p,1920,1080,1,21,nvcr,basketball-drive,e004197c0a412ad50ba5746c826e7aaa112dfc18a0cdf6953f4fe3cd83445cef,100,0.042233680555555556,0.042588927469135805,36.256648474661205,decoded-yuv420p8-pooled-plane-6-1-1-v1,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e
basketball-1080p,1920,1080,1,42,nvcr,basketball-drive,e004197c0a412ad50ba5746c826e7aaa112dfc18a0cdf6953f4fe3cd83445cef,100,0.09825003858024692,0.09860528549382716,38.832553910755415,decoded-yuv420p8-pooled-plane-6-1-1-v1,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e
basketball-1080p,1920,1080,1,63,nvcr,basketball-drive,e004197c0a412ad50ba5746c826e7aaa112dfc18a0cdf6953f4fe3cd83445cef,100,0.28162592592592595,0.2819811728395062,40.918756346922436,decoded-yuv420p8-pooled-plane-6-1-1-v1,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e
basketball-1080p,1920,1080,1,0,python,basketball-drive,e004197c0a412ad50ba5746c826e7aaa112dfc18a0cdf6953f4fe3cd83445cef,100,0.018701118827160496,0.018716782407407408,32.889595691421135,decoded-yuv420p8-pooled-plane-6-1-1-v1,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e
basketball-1080p,1920,1080,1,21,python,basketball-drive,e004197c0a412ad50ba5746c826e7aaa112dfc18a0cdf6953f4fe3cd83445cef,100,0.04209375,0.04210941358024691,36.26350038800501,decoded-yuv420p8-pooled-plane-6-1-1-v1,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e
basketball-1080p,1920,1080,1,42,python,basketball-drive,e004197c0a412ad50ba5746c826e7aaa112dfc18a0cdf6953f4fe3cd83445cef,100,0.09797889660493828,0.0980022762345679,38.851628126895,decoded-yuv420p8-pooled-plane-6-1-1-v1,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e
basketball-1080p,1920,1080,1,63,python,basketball-drive,e004197c0a412ad50ba5746c826e7aaa112dfc18a0cdf6953f4fe3cd83445cef,100,0.2815058641975309,0.2815292438271605,40.956157153130896,decoded-yuv420p8-pooled-plane-6-1-1-v1,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e
basketball-1080p,1920,1080,30,0,nvcr,basketball-drive,e004197c0a412ad50ba5746c826e7aaa112dfc18a0cdf6953f4fe3cd83445cef,100,0.002697608024691358,0.0030528549382716048,31.10770672117401,decoded-yuv420p8-pooled-plane-6-1-1-v1,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e
basketball-1080p,1920,1080,30,21,nvcr,basketball-drive,e004197c0a412ad50ba5746c826e7aaa112dfc18a0cdf6953f4fe3cd83445cef,100,0.008476736111111112,0.008831983024691358,34.88032675727674,decoded-yuv420p8-pooled-plane-6-1-1-v1,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e
basketball-1080p,1920,1080,30,42,nvcr,basketball-drive,e004197c0a412ad50ba5746c826e7aaa112dfc18a0cdf6953f4fe3cd83445cef,100,0.02654729938271605,0.026902546296296296,37.82160357546114,decoded-yuv420p8-pooled-plane-6-1-1-v1,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e
basketball-1080p,1920,1080,30,63,nvcr,basketball-drive,e004197c0a412ad50ba5746c826e7aaa112dfc18a0cdf6953f4fe3cd83445cef,100,0.08622391975308642,0.08657916666666667,39.81505441862332,decoded-yuv420p8-pooled-plane-6-1-1-v1,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e
basketball-1080p,1920,1080,30,0,python,basketball-drive,e004197c0a412ad50ba5746c826e7aaa112dfc18a0cdf6953f4fe3cd83445cef,100,0.0026859953703703703,0.0027018904320987654,31.116134231246797,decoded-yuv420p8-pooled-plane-6-1-1-v1,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e
basketball-1080p,1920,1080,30,21,python,basketball-drive,e004197c0a412ad50ba5746c826e7aaa112dfc18a0cdf6953f4fe3cd83445cef,100,0.008452121913580246,0.008468016975308641,34.88585539711869,decoded-yuv420p8-pooled-plane-6-1-1-v1,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e
