schema,hardware,operation,resolution,input,size,fps,frames,warmup_frames,run_index,runs_planned,qp,gop_size,engine_profile,payload_bytes,payload_bpp,codec_time_seconds,throughput_fps,psnr_yuv,peak_memory_mb,peak_gpu_memory_mb,peak_system_memory_mb,min_largest_free_block_mb,memory_sampler,memory_sample_ms
"resolution-matrix.v1","rtx4070","encode","qcif","/home/oelghati/datasets/qcif/akiyo_qcif.yuv","176x144","30","100","10","1","3","32","1","qcif","65209","0.205836490","0.197","506.991","null","479.386719","932.0","null","null","procfs+nvidia-smi","100"
"resolution-matrix.v1","rtx4070","decode","qcif","/home/oelghati/datasets/qcif/akiyo_qcif.yuv","176x144","30","100","10","1","3","32","1","qcif","65209","0.205836490","0.167","599.038","35.788776","479.613281","932.0","null","null","procfs+nvidia-smi","100"
"resolution-matrix.v1","rtx4070","encode","qcif","/home/oelghati/datasets/qcif/akiyo_qcif.yuv","176x144","30","100","10","2","3","32","1","qcif","65209","0.205836490","0.181","551.886","null","479.390625","932.0","null","null","procfs+nvidia-smi","100"
"resolution-matrix.v1","rtx4070","decode","qcif","/home/oelghati/datasets/qcif/akiyo_qcif.yuv","176x144","30","100","10","2","3","32","1","qcif","65209","0.205836490","0.166","603.054","35.788776","479.507812","932.0","null","null","procfs+nvidia-smi","100"
"resolution-matrix.v1","rtx4070","encode","qcif","/home/oelghati/datasets/qcif/akiyo_qcif.yuv","176x144","30","100","10","3","3","32","1","qcif","65209","0.205836490","0.181","552.358","null","479.738281","932.0","null","null","procfs+nvidia-smi","100"
"resolution-matrix.v1","rtx4070","decode","qcif","/home/oelghati/datasets/qcif/akiyo_qcif.yuv","176x144","30","100","10","3","3","32","1","qcif","65209","0.205836490","0.167","600.566","35.788776","479.675781","932.0","null","null","procfs+nvidia-smi","100"
"resolution-matrix.v1","rtx4070","encode","qcif","/home/oelghati/datasets/qcif/akiyo_qcif.yuv","176x144","30","100","10","average","3","32","1","qcif","65209","0.205836490","0.186333","537.078333","null","479.738281","932.000000","null","null","procfs+nvidia-smi","100"
"resolution-matrix.v1","rtx4070","decode","qcif","/home/oelghati/datasets/qcif/akiyo_qcif.yuv","176x144","30","100","10","average","3","32","1","qcif","65209","0.205836490","0.166667","600.886000","35.788776","479.675781","932.000000","null","null","procfs+nvidia-smi","100"
"resolution-matrix.v1","rtx4070","encode","cif","/home/oelghati/datasets/cif/waterfall_cif.yuv","352x288","30","100","10","1","3","32","1","cif","368350","0.290680240","0.396","252.808","null","477.261719","982.0","null","null","procfs+nvidia-smi","100"
"resolution-matrix.v1","rtx4070","decode","cif","/home/oelghati/datasets/cif/waterfall_cif.yuv","352x288","30","100","10","1","3","32","1","cif","368350","0.290680240","0.369","271.150","31.961096","478.3125","982.0","null","null","procfs+nvidia-smi","100"
"resolution-matrix.v1","rtx4070","encode","cif","/home/oelghati/datasets/cif/waterfall_cif.yuv","352x288","30","100","10","2","3","32","1","cif","368350","0.290680240","0.380","262.815","null","477.238281","982.0","null","null","procfs+nvidia-smi","100"
"resolution-matrix.v1","rtx4070","decode","cif","/home/oelghati/datasets/cif/waterfall_cif.yuv","352x288","30","100","10","2","3","32","1","cif","368350","0.290680240","0.374","267.294","31.961096","478.265625","982.0","null","null","procfs+nvidia-smi","100"
"resolution-matrix.v1","rtx4070","encode","cif","/home/oelghati/datasets/cif/waterfall_cif.yuv","352x288","30","100","10","3","3","32","1","cif","368350","0.290680240","0.381","262.622","null","477.273438","982.0","null","null","procfs+nvidia-smi","100"
"resolution-matrix.v1","rtx4070","decode","cif","/home/oelghati/datasets/cif/waterfall_cif.yuv","352x288","30","100","10","3","3","32","1","cif","368350","0.290680240","0.370","270.624","31.961096","478.332031","982.0","null","null","procfs+nvidia-smi","100"
"resolution-matrix.v1","rtx4070","encode","cif","/home/oelghati/datasets/cif/waterfall_cif.yuv","352x288","30","100","10","average","3","32","1","cif","368350","0.290680240","0.385667","259.415000","null","477.273438","982.000000","null","null","procfs+nvidia-smi","100"
"resolution-matrix.v1","rtx4070","decode","cif","/home/oelghati/datasets/cif/waterfall_cif.yuv","352x288","30","100","10","average","3","32","1","cif","368350","0.290680240","0.371000","269.689333","31.961096","478.332031","982.000000","null","null","procfs+nvidia-smi","100"
"resolution-matrix.v1","rtx4070","encode","360p","/home/oelghati/datasets/360p/BasketballDrive_640x360_50.yuv","640x360","50","100","10","1","3","32","1","360p","409991","0.142357986","0.633","158.012","null","496.105469","1050.0","null","null","procfs+nvidia-smi","100"
"resolution-matrix.v1","rtx4070","decode","360p","/home/oelghati/datasets/360p/BasketballDrive_640x360_50.yuv","640x360","50","100","10","1","3","32","1","360p","409991","0.142357986","0.620","161.314","36.192285","496.617188","1050.0","null","null","procfs+nvidia-smi","100"
"resolution-matrix.v1","rtx4070","encode","360p","/home/oelghati/datasets/360p/BasketballDrive_640x360_50.yuv","640x360","50","100","10","2","3","32","1","360p","409991","0.142357986","0.619","161.543","null","494.546875","1050.0","null","null","procfs+nvidia-smi","100"
"resolution-matrix.v1","rtx4070","decode","360p","/home/oelghati/datasets/360p/BasketballDrive_640x360_50.yuv","640x360","50","100","10","2","3","32","1","360p","409991","0.142357986","0.620","161.189","36.192285","496.585938","1050.0","null","null","procfs+nvidia-smi","100"
"resolution-matrix.v1","rtx4070","encode","360p","/home/oelghati/datasets/360p/BasketballDrive_640x360_50.yuv","640x360","50","100","10","3","3","32","1","360p","409991","0.142357986","0.618","161.821","null","494.570312","1050.0","null","null","procfs+nvidia-smi","100"
"resolution-matrix.v1","rtx4070","decode","360p","/home/oelghati/datasets/360p/BasketballDrive_640x360_50.yuv","640x360","50","100","10","3","3","32","1","360p","409991","0.142357986","0.620","161.205","36.192285","496.621094","1050.0","null","null","procfs+nvidia-smi","100"
"resolution-matrix.v1","rtx4070","encode","360p","/home/oelghati/datasets/360p/BasketballDrive_640x360_50.yuv","640x360","50","100","10","average","3","32","1","360p","409991","0.142357986","0.623333","160.458667","null","496.105469","1050.000000","null","null","procfs+nvidia-smi","100"
"resolution-matrix.v1","rtx4070","decode","360p","/home/oelghati/datasets/360p/BasketballDrive_640x360_50.yuv","640x360","50","100","10","average","3","32","1","360p","409991","0.142357986","0.620000","161.236000","36.192285","496.621094","1050.000000","null","null","procfs+nvidia-smi","100"
"resolution-matrix.v1","rtx4070","encode","540p","/home/oelghati/datasets/540p/BasketballDrive_960x540_50.yuv","960x540","50","100","10","1","3","32","1","540p","700010","0.108026235","1.294","77.290","null","489.339844","1220.0","null","null","procfs+nvidia-smi","100"
"resolution-matrix.v1","rtx4070","decode","540p","/home/oelghati/datasets/540p/BasketballDrive_960x540_50.yuv","960x540","50","100","10","1","3","32","1","540p","700010","0.108026235","1.289","77.557","37.301491","493.628906","1220.0","null","null","procfs+nvidia-smi","100"
"resolution-matrix.v1","rtx4070","encode","540p","/home/oelghati/datasets/540p/BasketballDrive_960x540_50.yuv","960x540","50","100","10","2","3","32","1","540p","700010","0.108026235","1.293","77.367","null","489.375","1220.0","null","null","procfs+nvidia-smi","100"
"resolution-matrix.v1","rtx4070","decode","540p","/home/oelghati/datasets/540p/BasketballDrive_960x540_50.yuv","960x540","50","100","10","2","3","32","1","540p","700010","0.108026235","1.284","77.863","37.301491","493.574219","1220.0","null","null","procfs+nvidia-smi","100"
"resolution-matrix.v1","rtx4070","encode","540p","/home/oelghati/datasets/540p/BasketballDrive_960x540_50.yuv","960x540","50","100","10","3","3","32","1","540p","700010","0.108026235","1.298","77.048","null","489.308594","1220.0","null","null","procfs+nvidia-smi","100"
"resolution-matrix.v1","rtx4070","decode","540p","/home/oelghati/datasets/540p/BasketballDrive_960x540_50.yuv","960x540","50","100","10","3","3","32","1","540p","700010","0.108026235","1.286","77.732","37.301491","493.640625","1220.0","null","null","procfs+nvidia-smi","100"
"resolution-matrix.v1","rtx4070","encode","540p","/home/oelghati/datasets/540p/BasketballDrive_960x540_50.yuv","960x540","50","100","10","average","3","32","1","540p","700010","0.108026235","1.295000","77.235000","null","489.375000","1220.000000","null","null","procfs+nvidia-smi","100"
