"schema","hardware","execution_mode","container_image","container_digest","operation","resolution","input","size","fps","frames","warmup_frames","run_index","runs_planned","qp","gop_size","engine_profile","payload_bytes","payload_bpp","codec_time_seconds","throughput_fps","psnr_yuv","peak_memory_mb","peak_gpu_memory_mb","peak_system_memory_mb","min_largest_free_block_mb","memory_sampler","memory_sample_ms"
"resolution-matrix.v1","rtx4070","native","","","encode","qcif","/home/oelghati/NVCR/../datasets/qcif/akiyo_qcif.yuv","176x144","30","100","10","1","2","32","1","qcif","65209","0.205836490","0.192","521.255","null","null","null","null","null","none","0"
"resolution-matrix.v1","rtx4070","native","","","decode","qcif","/home/oelghati/NVCR/../datasets/qcif/akiyo_qcif.yuv","176x144","30","100","10","1","2","32","1","qcif","65209","0.205836490","0.166","603.869","35.788776","null","null","null","null","none","0"
"resolution-matrix.v1","rtx4070","native","","","encode","qcif","/home/oelghati/NVCR/../datasets/qcif/akiyo_qcif.yuv","176x144","30","100","10","2","2","32","1","qcif","65209","0.205836490","0.181","551.102","null","null","null","null","null","none","0"
"resolution-matrix.v1","rtx4070","native","","","decode","qcif","/home/oelghati/NVCR/../datasets/qcif/akiyo_qcif.yuv","176x144","30","100","10","2","2","32","1","qcif","65209","0.205836490","0.166","601.433","35.788776","null","null","null","null","none","0"
"resolution-matrix.v1","rtx4070","native","","","encode","qcif","/home/oelghati/NVCR/../datasets/qcif/akiyo_qcif.yuv","176x144","30","100","10","average","2","32","1","qcif","65209","0.205836490","0.186500","536.178500","null","null","null","null","null","none","0"
"resolution-matrix.v1","rtx4070","native","","","decode","qcif","/home/oelghati/NVCR/../datasets/qcif/akiyo_qcif.yuv","176x144","30","100","10","average","2","32","1","qcif","65209","0.205836490","0.166000","602.651000","35.788776","null","null","null","null","none","0"
"resolution-matrix.v1","rtx4070","native","","","encode","cif","/home/oelghati/NVCR/../datasets/cif/waterfall_cif.yuv","352x288","30","100","10","1","2","32","1","cif","368350","0.290680240","0.389","256.955","null","null","null","null","null","none","0"
"resolution-matrix.v1","rtx4070","native","","","decode","cif","/home/oelghati/NVCR/../datasets/cif/waterfall_cif.yuv","352x288","30","100","10","1","2","32","1","cif","368350","0.290680240","0.366","273.448","31.961096","null","null","null","null","none","0"
"resolution-matrix.v1","rtx4070","native","","","encode","cif","/home/oelghati/NVCR/../datasets/cif/waterfall_cif.yuv","352x288","30","100","10","2","2","32","1","cif","368350","0.290680240","0.380","263.286","null","null","null","null","null","none","0"
"resolution-matrix.v1","rtx4070","native","","","decode","cif","/home/oelghati/NVCR/../datasets/cif/waterfall_cif.yuv","352x288","30","100","10","2","2","32","1","cif","368350","0.290680240","0.368","271.683","31.961096","null","null","null","null","none","0"
"resolution-matrix.v1","rtx4070","native","","","encode","cif","/home/oelghati/NVCR/../datasets/cif/waterfall_cif.yuv","352x288","30","100","10","average","2","32","1","cif","368350","0.290680240","0.384500","260.120500","null","null","null","null","null","none","0"
"resolution-matrix.v1","rtx4070","native","","","decode","cif","/home/oelghati/NVCR/../datasets/cif/waterfall_cif.yuv","352x288","30","100","10","average","2","32","1","cif","368350","0.290680240","0.367000","272.565500","31.961096","null","null","null","null","none","0"
"resolution-matrix.v1","rtx4070","native","","","encode","360p","/home/oelghati/NVCR/../datasets/360p/BasketballDrive_640x360_50.yuv","640x360","50","100","10","1","2","32","1","360p","409991","0.142357986","0.629","158.957","null","null","null","null","null","none","0"
