schema,hardware,codec,operation,resolution,width,height,sequence,source_kind,qp,gop_size,source_timestamp,source_json,mode,frame_num,i_frame_num,p_frame_num,total_bytes,bitrate_kbps,throughput_fps,peak_memory_mb,peak_gpu_memory_mb,reset_interval,ave_i_frame_bpp,ave_i_frame_psnr,ave_i_frame_msssim,ave_i_frame_psnr_y,ave_i_frame_psnr_u,ave_i_frame_psnr_v,ave_i_frame_msssim_y,ave_i_frame_msssim_u,ave_i_frame_msssim_v,ave_p_frame_bpp,ave_p_frame_psnr,ave_p_frame_msssim,ave_p_frame_psnr_y,ave_p_frame_psnr_u,ave_p_frame_psnr_v,ave_p_frame_msssim_y,ave_p_frame_msssim_u,ave_p_frame_msssim_v,ave_all_frame_bpp,ave_all_frame_psnr,ave_all_frame_msssim,ave_all_frame_psnr_y,ave_all_frame_psnr_u,ave_all_frame_psnr_v,ave_all_frame_msssim_y,ave_all_frame_msssim_u,ave_all_frame_msssim_v
nvcr.python-dcvc-rt.gop.v1,rtx4070,DCVC-RT,encode,1280x720,1280,720,FourPeople_1280x720_60.yuv,summary,32,1,1786291572,"1280x720/FourPeople_1280x720_60.yuv/FourPeople_1280x720_60.yuv,q=32,gop=1,time=1786291572_encode.json",encode_only,100,100,0,1129256,2710,11.064220057681025,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,
nvcr.python-dcvc-rt.gop.v1,rtx4070,DCVC-RT,decode,1280x720,1280,720,FourPeople_1280x720_60.yuv,summary,32,1,1786292078,"1280x720/FourPeople_1280x720_60.yuv/FourPeople_1280x720_60.yuv,q=32,gop=1,time=1786292078_decode.json",decode_only,100,100,0,,,21.070628,,,64,0.09799,38.853138,0.0,36.753772,44.409175,45.893297,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.09799,38.853138,0.0,36.753772,44.409175,45.893297,0.0,0.0,0.0
nvcr.python-dcvc-rt.gop.v1,rtx4070,DCVC-RT,encode,1280x720,1280,720,FourPeople_1280x720_60.yuv,summary,32,30,1786291595,"1280x720/FourPeople_1280x720_60.yuv/FourPeople_1280x720_60.yuv,q=32,gop=30,time=1786291595_encode.json",encode_only,100,4,96,132590,318,13.615257577218323,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,
nvcr.python-dcvc-rt.gop.v1,rtx4070,DCVC-RT,decode,1280x720,1280,720,FourPeople_1280x720_60.yuv,summary,32,30,1786292102,"1280x720/FourPeople_1280x720_60.yuv/FourPeople_1280x720_60.yuv,q=32,gop=30,time=1786292102_decode.json",decode_only,100,4,96,,,27.773542,,,64,0.098047,38.872898,0.0,36.775384,44.399225,45.931652,0.0,0.0,0.0,0.007867,40.843725,0.0,38.931243,45.75169,47.410648,0.0,0.0,0.0,0.011474,40.764891,0.0,38.845009,45.697591,47.351488,0.0,0.0,0.0
nvcr.python-dcvc-rt.gop.v1,rtx4070,DCVC-RT,encode,1280x720,1280,720,FourPeople_1280x720_60.yuv,summary,32,100,1786291615,"1280x720/FourPeople_1280x720_60.yuv/FourPeople_1280x720_60.yuv,q=32,gop=100,time=1786291615_encode.json",encode_only,100,1,99,70445,169,13.861249253699715,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,
nvcr.python-dcvc-rt.gop.v1,rtx4070,DCVC-RT,decode,1280x720,1280,720,FourPeople_1280x720_60.yuv,summary,32,100,1786292124,"1280x720/FourPeople_1280x720_60.yuv/FourPeople_1280x720_60.yuv,q=32,gop=100,time=1786292124_decode.json",decode_only,100,1,99,,,28.629374,,,64,0.099479,38.846084,0.0,36.725654,44.444436,45.970313,0.0,0.0,0.0,0.005136,40.728612,0.0,38.781929,45.73698,47.400345,0.0,0.0,0.0,0.00608,40.709787,0.0,38.761366,45.724054,47.386045,0.0,0.0,0.0
nvcr.python-dcvc-rt.gop.v1,rtx4070,DCVC-RT,encode,176x144,176,144,akiyo_qcif.yuv,summary,32,1,1786291811,"176x144/akiyo_qcif.yuv/akiyo_qcif.yuv,q=32,gop=1,time=1786291811_encode.json",encode_only,100,100,0,59884,143,18.00983684032998,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,
nvcr.python-dcvc-rt.gop.v1,rtx4070,DCVC-RT,decode,176x144,176,144,akiyo_qcif.yuv,summary,32,1,1786292332,"176x144/akiyo_qcif.yuv/akiyo_qcif.yuv,q=32,gop=1,time=1786292332_decode.json",decode_only,100,100,0,,,151.625195,,,64,0.187746,35.915965,0.0,34.530512,36.938019,43.206629,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.187746,35.915965,0.0,34.530512,36.938019,43.206629,0.0,0.0,0.0
nvcr.python-dcvc-rt.gop.v1,rtx4070,DCVC-RT,encode,176x144,176,144,akiyo_qcif.yuv,summary,32,30,1786291827,"176x144/akiyo_qcif.yuv/akiyo_qcif.yuv,q=32,gop=30,time=1786291827_encode.json",encode_only,100,4,96,7723,18,18.13007671632115,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,
nvcr.python-dcvc-rt.gop.v1,rtx4070,DCVC-RT,decode,176x144,176,144,akiyo_qcif.yuv,summary,32,30,1786292348,"176x144/akiyo_qcif.yuv/akiyo_qcif.yuv,q=32,gop=30,time=1786292348_decode.json",decode_only,100,4,96,,,152.001556,,,64,0.187579,35.880726,0.0,34.465138,36.94272,43.312262,0.0,0.0,0.0,0.016503,38.406782,0.0,36.981439,40.701785,44.663839,0.0,0.0,0.0,0.023346,38.30574,0.0,36.880787,40.551422,44.609776,0.0,0.0,0.0
nvcr.python-dcvc-rt.gop.v1,rtx4070,DCVC-RT,encode,176x144,176,144,akiyo_qcif.yuv,summary,32,100,1786291843,"176x144/akiyo_qcif.yuv/akiyo_qcif.yuv,q=32,gop=100,time=1786291843_encode.json",encode_only,100,1,99,4497,10,18.381994296303468,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,
nvcr.python-dcvc-rt.gop.v1,rtx4070,DCVC-RT,decode,176x144,176,144,akiyo_qcif.yuv,summary,32,100,1786292364,"176x144/akiyo_qcif.yuv/akiyo_qcif.yuv,q=32,gop=100,time=1786292364_decode.json",decode_only,100,1,99,,,157.7404,,,64,0.188763,35.88633,0.0,34.451922,37.024978,43.354127,0.0,0.0,0.0,0.011411,38.232675,0.0,36.764895,40.667033,44.604998,0.0,0.0,0.0,0.013185,38.209211,0.0,36.741765,40.630612,44.59249,0.0,0.0,0.0
nvcr.python-dcvc-rt.gop.v1,rtx4070,DCVC-RT,encode,1920x1080,1920,1080,BasketballDrive_1920x1080_50.yuv,summary,32,1,1786291713,"1920x1080/BasketballDrive_1920x1080_50.yuv/BasketballDrive_1920x1080_50.yuv,q=32,gop=1,time=1786291713_encode.json",encode_only,100,100,0,1692047,4060,7.1628095407408665,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,
nvcr.python-dcvc-rt.gop.v1,rtx4070,DCVC-RT,decode,1920x1080,1920,1080,BasketballDrive_1920x1080_50.yuv,summary,32,1,1786292224,"1920x1080/BasketballDrive_1920x1080_50.yuv/BasketballDrive_1920x1080_50.yuv,q=32,gop=1,time=1786292224_decode.json",decode_only,100,100,0,,,10.173332,,,64,0.065259,37.877912,0.0,36.15909,42.896482,43.172274,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.065259,37.877912,0.0,36.15909,42.896482,43.172274,0.0,0.0,0.0
nvcr.python-dcvc-rt.gop.v1,rtx4070,DCVC-RT,encode,1920x1080,1920,1080,BasketballDrive_1920x1080_50.yuv,summary,32,30,1786291746,"1920x1080/BasketballDrive_1920x1080_50.yuv/BasketballDrive_1920x1080_50.yuv,q=32,gop=30,time=1786291746_encode.json",encode_only,100,4,96,399990,959,10.001821763821935,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,
nvcr.python-dcvc-rt.gop.v1,rtx4070,DCVC-RT,decode,1920x1080,1920,1080,BasketballDrive_1920x1080_50.yuv,summary,32,30,1786292258,"1920x1080/BasketballDrive_1920x1080_50.yuv/BasketballDrive_1920x1080_50.yuv,q=32,gop=30,time=1786292258_decode.json",decode_only,100,4,96,,,13.394943,,,64,0.063894,37.998263,0.0,36.281955,42.986063,43.308315,0.0,0.0,0.0,0.013396,36.624198,0.0,34.905729,42.055872,41.503342,0.0,0.0,0.0,0.015416,36.679161,0.0,34.960778,42.09308,41.575541,0.0,0.0,0.0
nvcr.python-dcvc-rt.gop.v1,rtx4070,DCVC-RT,encode,1920x1080,1920,1080,BasketballDrive_1920x1080_50.yuv,summary,32,100,1786291771,"1920x1080/BasketballDrive_1920x1080_50.yuv/BasketballDrive_1920x1080_50.yuv,q=32,gop=100,time=1786291771_encode.json",encode_only,100,1,99,334732,803,10.124908845850674,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,
nvcr.python-dcvc-rt.gop.v1,rtx4070,DCVC-RT,decode,1920x1080,1920,1080,BasketballDrive_1920x1080_50.yuv,summary,32,100,1786292288,"1920x1080/BasketballDrive_1920x1080_50.yuv/BasketballDrive_1920x1080_50.yuv,q=32,gop=100,time=1786292288_decode.json",decode_only,100,1,99,,,13.383729,,,64,0.054344,38.658683,0.0,36.93663,43.704821,43.944863,0.0,0.0,0.0,0.01248,36.462246,0.0,34.726802,41.954258,41.3829,0.0,0.0,0.0,0.012898,36.48421,0.0,34.7489,41.971763,41.408519,0.0,0.0,0.0
nvcr.python-dcvc-rt.gop.v1,rtx4070,DCVC-RT,encode,352x288,352,288,waterfall_cif.yuv,summary,32,1,1786291649,"352x288/waterfall_cif.yuv/waterfall_cif.yuv,q=32,gop=1,time=1786291649_encode.json",encode_only,100,100,0,362459,869,17.462015406548588,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,
nvcr.python-dcvc-rt.gop.v1,rtx4070,DCVC-RT,decode,352x288,352,288,waterfall_cif.yuv,summary,32,1,1786292160,"352x288/waterfall_cif.yuv/waterfall_cif.yuv,q=32,gop=1,time=1786292160_decode.json",decode_only,100,100,0,,,112.559628,,,64,0.285711,31.988875,0.0,30.47274,35.864432,37.210122,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.285711,31.988875,0.0,30.47274,35.864432,37.210122,0.0,0.0,0.0
nvcr.python-dcvc-rt.gop.v1,rtx4070,DCVC-RT,encode,352x288,352,288,waterfall_cif.yuv,summary,32,30,1786291666,"352x288/waterfall_cif.yuv/waterfall_cif.yuv,q=32,gop=30,time=1786291666_encode.json",encode_only,100,4,96,54399,130,17.798550318719837,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,
nvcr.python-dcvc-rt.gop.v1,rtx4070,DCVC-RT,decode,352x288,352,288,waterfall_cif.yuv,summary,32,30,1786292177,"352x288/waterfall_cif.yuv/waterfall_cif.yuv,q=32,gop=30,time=1786292177_decode.json",decode_only,100,4,96,,,126.920465,,,64,0.283913,32.002495,0.0,30.48871,35.854762,37.23294,0.0,0.0,0.0,0.032598,34.682847,0.0,33.455304,37.783929,38.947026,0.0,0.0,0.0,0.042651,34.575633,0.0,33.33664,37.706762,38.878463,0.0,0.0,0.0
nvcr.python-dcvc-rt.gop.v1,rtx4070,DCVC-RT,encode,352x288,352,288,waterfall_cif.yuv,summary,32,100,1786291682,"352x288/waterfall_cif.yuv/waterfall_cif.yuv,q=32,gop=100,time=1786291682_encode.json",encode_only,100,1,99,27402,65,17.967840582875738,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,
nvcr.python-dcvc-rt.gop.v1,rtx4070,DCVC-RT,decode,352x288,352,288,waterfall_cif.yuv,summary,32,100,1786292193,"352x288/waterfall_cif.yuv/waterfall_cif.yuv,q=32,gop=100,time=1786292193_decode.json",decode_only,100,1,99,,,128.289997,,,64,0.272175,32.113606,0.0,30.611148,35.892568,37.349394,0.0,0.0,0.0,0.018825,34.885823,0.0,33.740067,37.745323,38.900861,0.0,0.0,0.0,0.021358,34.858101,0.0,33.708777,37.726796,38.885346,0.0,0.0,0.0
nvcr.python-dcvc-rt.gop.v1,rtx4070,DCVC-RT,encode,640x360,640,360,BasketballDrive_640x360_50.yuv,summary,32,1,1786291432,"640x360/BasketballDrive_640x360_50.yuv/BasketballDrive_640x360_50.yuv,q=32,gop=1,time=1786291432_encode.json",encode_only,100,100,0,403677,968,11.769440843329292,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,
nvcr.python-dcvc-rt.gop.v1,rtx4070,DCVC-RT,decode,640x360,640,360,BasketballDrive_640x360_50.yuv,summary,32,1,1786291939,"640x360/BasketballDrive_640x360_50.yuv/BasketballDrive_640x360_50.yuv,q=32,gop=1,time=1786291939_decode.json",decode_only,100,100,0,,,74.370509,,,64,0.140025,36.319646,0.0,34.639841,42.336935,40.381184,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.140025,36.319646,0.0,34.639841,42.336935,40.381184,0.0,0.0,0.0
nvcr.python-dcvc-rt.gop.v1,rtx4070,DCVC-RT,encode,640x360,640,360,BasketballDrive_640x360_50.yuv,summary,32,30,1786291454,"640x360/BasketballDrive_640x360_50.yuv/BasketballDrive_640x360_50.yuv,q=32,gop=30,time=1786291454_encode.json",encode_only,100,4,96,88894,213,17.44452499663188,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,
nvcr.python-dcvc-rt.gop.v1,rtx4070,DCVC-RT,decode,640x360,640,360,BasketballDrive_640x360_50.yuv,summary,32,30,1786291957,"640x360/BasketballDrive_640x360_50.yuv/BasketballDrive_640x360_50.yuv,q=32,gop=30,time=1786291957_decode.json",decode_only,100,4,96,,,96.359722,,,64,0.136484,36.384415,0.0,34.713009,42.277748,40.519515,0.0,0.0,0.0,0.026316,35.080377,0.0,33.321858,41.600351,39.111511,0.0,0.0,0.0,0.030723,35.132538,0.0,33.377505,41.627447,39.167831,0.0,0.0,0.0
nvcr.python-dcvc-rt.gop.v1,rtx4070,DCVC-RT,encode,640x360,640,360,BasketballDrive_640x360_50.yuv,summary,32,100,1786291470,"640x360/BasketballDrive_640x360_50.yuv/BasketballDrive_640x360_50.yuv,q=32,gop=100,time=1786291470_encode.json",encode_only,100,1,99,72789,174,17.51485369937294,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,
nvcr.python-dcvc-rt.gop.v1,rtx4070,DCVC-RT,decode,640x360,640,360,BasketballDrive_640x360_50.yuv,summary,32,100,1786291973,"640x360/BasketballDrive_640x360_50.yuv/BasketballDrive_640x360_50.yuv,q=32,gop=100,time=1786291973_decode.json",decode_only,100,1,99,,,97.707203,,,64,0.114201,37.079948,0.0,35.481758,42.654103,41.094932,0.0,0.0,0.0,0.024231,34.892958,0.0,33.112007,41.476515,38.995113,0.0,0.0,0.0,0.025131,34.914828,0.0,33.135704,41.488291,39.016111,0.0,0.0,0.0
nvcr.python-dcvc-rt.gop.v1,rtx4070,DCVC-RT,encode,960x540,960,540,BasketballDrive_960x540_50.yuv,summary,32,1,1786291502,"960x540/BasketballDrive_960x540_50.yuv/BasketballDrive_960x540_50.yuv,q=32,gop=1,time=1786291502_encode.json",encode_only,100,100,0,692954,1663,13.365070232255993,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,
