schema,hardware,execution_mode,container_image,container_digest,operation,resolution,input,size,fps,frames,warmup_frames,run_index,runs_planned,qp,gop_size,engine_profile,payload_bytes,payload_bpp,codec_time_seconds,throughput_fps,process_time_seconds,process_throughput_fps,psnr_yuv,peak_memory_mb,peak_gpu_memory_mb,peak_system_memory_mb,min_largest_free_block_mb,memory_sampler,memory_sample_ms
"resolution-matrix.v1","rtx5060","docker","omarelghati/nvcr:latest-amd64-cuda12.8-trt10.9","omarelghati/nvcr@sha256:40f215cd15d424f2f86971523ffff9c5a321081b9ffe68c898116254dcf971de","encode","qcif","/input/qcif/akiyo_qcif.yuv","176x144","30","100","10","1","2","32","1","qcif","65281","0.206063763","0.982","101.845","3.327074","30.056440","null","null","null","null","null","none","0"
"resolution-matrix.v1","rtx5060","docker","omarelghati/nvcr:latest-amd64-cuda12.8-trt10.9","omarelghati/nvcr@sha256:40f215cd15d424f2f86971523ffff9c5a321081b9ffe68c898116254dcf971de","decode","qcif","/input/qcif/akiyo_qcif.yuv","176x144","30","100","10","1","2","32","1","qcif","65281","0.206063763","0.336","297.609","2.486357","40.219486","35.794646","null","null","null","null","none","0"
"resolution-matrix.v1","rtx5060","docker","omarelghati/nvcr:latest-amd64-cuda12.8-trt10.9","omarelghati/nvcr@sha256:40f215cd15d424f2f86971523ffff9c5a321081b9ffe68c898116254dcf971de","encode","qcif","/input/qcif/akiyo_qcif.yuv","176x144","30","100","10","2","2","32","1","qcif","65281","0.206063763","0.770","129.821","2.900463","34.477254","null","null","null","null","null","none","0"
"resolution-matrix.v1","rtx5060","docker","omarelghati/nvcr:latest-amd64-cuda12.8-trt10.9","omarelghati/nvcr@sha256:40f215cd15d424f2f86971523ffff9c5a321081b9ffe68c898116254dcf971de","decode","qcif","/input/qcif/akiyo_qcif.yuv","176x144","30","100","10","2","2","32","1","qcif","65281","0.206063763","0.639","156.529","3.048367","32.804449","35.794646","null","null","null","null","none","0"
"resolution-matrix.v1","rtx5060","docker","omarelghati/nvcr:latest-amd64-cuda12.8-trt10.9","omarelghati/nvcr@sha256:40f215cd15d424f2f86971523ffff9c5a321081b9ffe68c898116254dcf971de","encode","qcif","/input/qcif/akiyo_qcif.yuv","176x144","30","100","10","average","2","32","1","qcif","65281","0.206063763","0.876000","115.833000","3.113768","32.115431","null","null","null","null","null","none","0"
"resolution-matrix.v1","rtx5060","docker","omarelghati/nvcr:latest-amd64-cuda12.8-trt10.9","omarelghati/nvcr@sha256:40f215cd15d424f2f86971523ffff9c5a321081b9ffe68c898116254dcf971de","decode","qcif","/input/qcif/akiyo_qcif.yuv","176x144","30","100","10","average","2","32","1","qcif","65281","0.206063763","0.487500","227.069000","2.767362","36.135497","35.794646","null","null","null","null","none","0"
"resolution-matrix.v1","rtx5060","docker","omarelghati/nvcr:latest-amd64-cuda12.8-trt10.9","omarelghati/nvcr@sha256:40f215cd15d424f2f86971523ffff9c5a321081b9ffe68c898116254dcf971de","encode","cif","/input/cif/waterfall_cif.yuv","352x288","30","100","10","1","2","32","1","cif","368308","0.290647096","0.730","136.926","2.820885","35.449868","null","null","null","null","null","none","0"
"resolution-matrix.v1","rtx5060","docker","omarelghati/nvcr:latest-amd64-cuda12.8-trt10.9","omarelghati/nvcr@sha256:40f215cd15d424f2f86971523ffff9c5a321081b9ffe68c898116254dcf971de","decode","cif","/input/cif/waterfall_cif.yuv","352x288","30","100","10","1","2","32","1","cif","368308","0.290647096","0.583","171.481","2.830830","35.325329","31.961102","null","null","null","null","none","0"
"resolution-matrix.v1","rtx5060","docker","omarelghati/nvcr:latest-amd64-cuda12.8-trt10.9","omarelghati/nvcr@sha256:40f215cd15d424f2f86971523ffff9c5a321081b9ffe68c898116254dcf971de","encode","cif","/input/cif/waterfall_cif.yuv","352x288","30","100","10","2","2","32","1","cif","368308","0.290647096","0.609","164.090","2.819979","35.461257","null","null","null","null","null","none","0"
"resolution-matrix.v1","rtx5060","docker","omarelghati/nvcr:latest-amd64-cuda12.8-trt10.9","omarelghati/nvcr@sha256:40f215cd15d424f2f86971523ffff9c5a321081b9ffe68c898116254dcf971de","decode","cif","/input/cif/waterfall_cif.yuv","352x288","30","100","10","2","2","32","1","cif","368308","0.290647096","0.576","173.493","2.845588","35.142122","31.961102","null","null","null","null","none","0"
"resolution-matrix.v1","rtx5060","docker","omarelghati/nvcr:latest-amd64-cuda12.8-trt10.9","omarelghati/nvcr@sha256:40f215cd15d424f2f86971523ffff9c5a321081b9ffe68c898116254dcf971de","encode","cif","/input/cif/waterfall_cif.yuv","352x288","30","100","10","average","2","32","1","cif","368308","0.290647096","0.669500","150.508000","2.820432","35.455561","null","null","null","null","null","none","0"
"resolution-matrix.v1","rtx5060","docker","omarelghati/nvcr:latest-amd64-cuda12.8-trt10.9","omarelghati/nvcr@sha256:40f215cd15d424f2f86971523ffff9c5a321081b9ffe68c898116254dcf971de","decode","cif","/input/cif/waterfall_cif.yuv","352x288","30","100","10","average","2","32","1","cif","368308","0.290647096","0.579500","172.487000","2.838209","35.233487","31.961102","null","null","null","null","none","0"
"resolution-matrix.v1","rtx5060","docker","omarelghati/nvcr:latest-amd64-cuda12.8-trt10.9","omarelghati/nvcr@sha256:40f215cd15d424f2f86971523ffff9c5a321081b9ffe68c898116254dcf971de","encode","360p","/input/360p/BasketballDrive_640x360_50.yuv","640x360","50","100","10","1","2","32","1","360p","409795","0.142289931","1.109","90.155","3.329426","30.035207","null","null","null","null","null","none","0"
"resolution-matrix.v1","rtx5060","docker","omarelghati/nvcr:latest-amd64-cuda12.8-trt10.9","omarelghati/nvcr@sha256:40f215cd15d424f2f86971523ffff9c5a321081b9ffe68c898116254dcf971de","decode","360p","/input/360p/BasketballDrive_640x360_50.yuv","640x360","50","100","10","1","2","32","1","360p","409795","0.142289931","0.937","106.772","3.427600","29.174933","36.195557","null","null","null","null","none","0"
